 21 6879.009633 8.590E-30 2.837e-02.06570.069 3603.56130.70-.009373       1 1 1 31       1 1 1 01                    R 62f     4377642030 5 4 5 7   127.0  125.0
 21 6879.046912 2.179E-27 2.744e-02.07310.100 2225.19340.71-.007929       1 1 1 31       1 1 1 01                    R 19e     3377642030 5 4 5 7    41.0   39.0
 21 6879.096945 1.111E-30 2.595e-02.06360.066 4038.92970.68-.010009       1 1 1 32       1 1 1 02                    R 73e     4677642029 5 4 5 7   149.0  147.0
 21 6879.133017 6.930E-30 2.809e-02.06550.069 3648.94750.70-.009430       1 1 1 31       1 1 1 01                    R 63e     3377642030 5 4 5 7   129.0  127.0
 21 6879.345800 3.982E-27 2.470e-02.07920.106 1993.57010.69-.006912       1 1 1 32       1 1 1 02                    R 12f     4677742029 5 4 5 7    27.0   25.0
 21 6879.387348 4.119E-26 2.700e-02.07030.095 1662.04020.74-.008344       1 0 0 31       1 0 0 01                    P 26e     3677642030 5 4 5 7    51.0   53.0
 21 6879.412472 2.121E-27 2.753e-02.07250.099 2241.19460.71-.008009       1 1 1 31       1 1 1 01                    R 20f     4377642030 5 4 5 7    43.0   41.0
 21 6879.426301 1.418E-30 2.608e-02.06380.067 3986.89160.68-.009943       1 1 1 32       1 1 1 02                    R 72f     3677642029 5 4 5 7   147.0  145.0
 21 6879.765303 8.747E-26 3.326e-02.07380.101 1483.94490.70-.007905       0 2 2 31       0 2 2 01                    P 19f     4677642030 5 4 5 7    37.0   39.0
 21 6879.766420 4.095E-29 1.358e-04.06810.078 2110.09010.75-.008726       0 2 2 31       0 2 2 01                    Q 44e     4377642030 5 4 5 7    89.0   89.0
 21 6879.775360 1.325E-29 2.833e-02.06600.070 3507.51810.70-.009277       1 1 1 31       1 1 1 01                    R 60f     4377642030 5 4 5 7   123.0  121.0
 21 6879.820733 2.052E-27 2.751e-02.07200.098 2257.19820.72-.008083       1 1 1 31       1 1 1 01                    R 21e     3377642030 5 4 5 7    45.0   43.0
 21 6879.863971 4.085E-27 2.477e-02.07820.105 2003.58080.69-.007076       1 1 1 32       1 1 1 02                    R 13e     4677742029 5 4 5 7    29.0   27.0
 21 6879.898002 1.077E-29 2.807e-02.06580.069 3551.58980.70-.009322       1 1 1 31       1 1 1 01                    R 61e     3377742030 5 4 5 7   125.0  123.0
 21 6879.930649 2.149E-27 1.120e-01.07380.101 2496.23730.70-.007905       0 0 0 41       0 0 0 11                    P 19e     3677642029 5 4 5 7    37.0   39.0
 21 6880.139725 1.974E-27 2.761e-02.07150.097 2274.83980.72-.008141       1 1 1 31       1 1 1 01                    R 22f     4377642030 5 4 5 7    47.0   45.0
 21 6880.160041 1.870E-30 2.594e-02.06400.067 3926.06690.68-.009882       1 1 1 32       1 1 1 02                    R 71e     4677642029 5 4 5 7   145.0  143.0
 21 6880.182248 1.793E-25 3.187e-02.06790.077 1512.63650.75-.008772       0 1 1 31       0 1 1 01                    P 46f     4677642030 5 4 5 7    91.0   93.0
 21 6880.393931 4.154E-27 2.488e-02.07720.104 2014.71810.69-.007253       1 1 1 32       1 1 1 02                    R 14f     3677642029 5 4 5 7    31.0   29.0
 21 6880.466462 2.012E-29 2.831e-02.06630.070 3414.58420.71-.009197       1 1 1 31       1 1 1 01                    R 58f     4377742030 5 4 5 7   119.0  117.0
 21 6880.472734 2.371E-30 2.607e-02.06420.067 3875.32280.68-.009822       1 1 1 32       1 1 1 02                    R 70f     3677642029 5 4 5 7   143.0  141.0
 21 6880.521198 1.888E-27 2.758e-02.07110.097 2292.32350.73-.008206       1 1 1 31       1 1 1 01                    R 23e     3377642030 5 4 5 7    49.0   47.0
 21 6880.573040 4.948E-29 1.420e-04.06810.079 2075.67110.75-.008702       0 2 2 31       0 2 2 01                    Q 43f     4377642030 5 4 5 7    87.0   87.0
 21 6880.589925 1.648E-29 2.807e-02.06610.070 3457.33300.71-.009239       1 1 1 31       1 1 1 01                    R 59e     3377742030 5 4 5 7   121.0  119.0
 21 6880.792380 1.796E-27 2.769e-02.07070.096 2311.61250.73-.008267       1 1 1 31       1 1 1 01                    R 24f     4377642030 5 4 5 7    51.0   49.0
 21 6880.875095 4.189E-27 2.493e-02.07620.103 2026.24040.69-.007433       1 1 1 32       1 1 1 02                    R 15e     4677642029 5 4 5 7    33.0   31.0
 21 6880.875383 8.898E-26 3.328e-02.07450.101 1469.06560.70-.007812       0 2 2 31       0 2 2 01                    P 18e     4677642030 5 4 5 7    35.0   37.0
 21 6881.049039 6.254E-26 2.491e-02.07030.095 1559.44930.74-.008344       1 0 0 32       1 0 0 02                    P 26e     4677642029 5 4 5 7    51.0   53.0
 21 6881.082927 3.006E-29 2.829e-02.06660.071 3324.76120.72-.009107       1 1 1 31       1 1 1 01                    R 56f     4377742030 5 4 5 7   115.0  113.0
 21 6881.148304 1.699E-27 2.764e-02.07030.095 2330.56910.74-.008325       1 1 1 31       1 1 1 01                    R 25e     3377642030 5 4 5 7    53.0   51.0
 21 6881.151759 3.099E-30 2.594e-02.06440.067 3816.29350.69-.009770       1 1 1 32       1 1 1 02                    R 69e     4677642029 5 4 5 7   141.0  139.0
 21 6881.208750 2.480E-29 2.806e-02.06650.071 3366.17800.71-.009153       1 1 1 31       1 1 1 01                    R 57e     3377642030 5 4 5 7   117.0  115.0
 21 6881.346256 5.957E-29 1.486e-04.06820.080 2042.03120.76-.008680       0 2 2 31       0 2 2 01                    Q 42e     4377642030 5 4 5 7    85.0   85.0
 21 6881.369595 4.190E-27 2.502e-02.07530.102 2038.99840.69-.007592       1 1 1 32       1 1 1 02                    R 16f     3677642029 5 4 5 7    35.0   33.0
 21 6881.370427 1.599E-27 2.775e-02.07000.094 2351.51270.74-.008373       1 1 1 31       1 1 1 01                    R 26f     4377642030 5 4 5 7    55.0   53.0
 21 6881.446521 3.902E-30 2.606e-02.06460.067 3766.85060.69-.009708       1 1 1 32       1 1 1 02                    R 68f     3677642029 5 4 5 7   139.0  137.0
 21 6881.624744 4.418E-29 2.827e-02.06690.072 3238.05050.72-.009022       1 1 1 31       1 1 1 01                    R 54f     4377742030 5 4 5 7   111.0  109.0
 21 6881.662089 8.916E-26 3.061e-02.06510.068 1722.94130.69-.009520       0 0 0 31       0 0 0 01                    P 66e     4677642030 5 4 5 7   131.0  133.0
 21 6881.702048 1.497E-27 2.769e-02.06980.093 2371.93360.74-.008420       1 1 1 31       1 1 1 01                    R 27e     3377642030 5 4 5 7    57.0   55.0
 21 6881.754444 3.673E-29 2.805e-02.06680.071 3278.12620.72-.009067       1 1 1 31       1 1 1 01                    R 55e     3377742030 5 4 5 7   113.0  111.0
 21 6881.814897 4.162E-27 2.505e-02.07450.101 2052.02420.70-.007734       1 1 1 32       1 1 1 02                    R 17e     4677642029 5 4 5 7    37.0   35.0
 21 6881.865706 4.612E-26 2.706e-02.07110.097 1622.25620.73-.008233       1 0 0 31       1 0 0 01                    P 24e     3677642030 5 4 5 7    47.0   49.0
 21 6881.873852 1.394E-27 2.781e-02.06950.092 2394.53930.75-.008455       1 1 1 31       1 1 1 01                    R 28f     4377642030 5 4 5 7    59.0   57.0
 21 6881.944882 2.104E-25 3.193e-02.06800.078 1475.42300.75-.008748       0 1 1 31       0 1 1 01                    P 45e     4677642030 5 4 5 7    89.0   91.0
 21 6881.966938 8.987E-26 3.330e-02.07530.102 1454.96860.69-.007699       0 2 2 31       0 2 2 01                    P 17f     4677642030 5 4 5 7    33.0   35.0
 21 6882.072031 5.054E-30 2.593e-02.06480.068 3709.61180.69-.009659       1 1 1 32       1 1 1 02                    R 67e     4677642029 5 4 5 7   137.0  135.0
 21 6882.091907 6.387E-29 2.824e-02.06720.073 3154.45340.73-.008948       1 1 1 31       1 1 1 01                    R 52f     4377742030 5 4 5 7   107.0  105.0
 21 6882.115711 7.150E-29 1.558e-04.06830.081 2009.17250.76-.008658       0 2 2 31       0 2 2 01                    Q 41f     4377642030 5 4 5 7    83.0   83.0
 21 6882.123397 2.210E-27 1.124e-01.07530.102 2467.59570.69-.007699       0 0 0 41       0 0 0 11                    P 17e     3677642029 5 4 5 7    33.0   35.0
 21 6882.182429 1.293E-27 2.775e-02.06940.091 2416.41700.75-.008479       1 1 1 31       1 1 1 01                    R 29e     3377642030 5 4 5 7    61.0   59.0
 21 6882.226974 5.351E-29 2.804e-02.06710.072 3193.17940.73-.008987       1 1 1 31       1 1 1 01                    R 53e     3377742030 5 4 5 7   109.0  107.0
 21 6882.273469 4.103E-27 2.513e-02.07370.101 2066.40990.70-.007836       1 1 1 32       1 1 1 02                    R 18f     3677642029 5 4 5 7    39.0   37.0
 21 6882.302647 1.191E-27 2.785e-02.06930.090 2440.69170.75-.008508       1 1 1 31       1 1 1 01                    R 30f     4377642030 5 4 5 7    63.0   61.0
 21 6882.347689 6.319E-30 2.604e-02.06500.068 3661.47710.69-.009593       1 1 1 32       1 1 1 02                    R 66f     3677642029 5 4 5 7   135.0  133.0
 21 6882.484408 9.082E-29 2.821e-02.06740.074 3073.97070.73-.008880       1 1 1 31       1 1 1 01                    R 50f     4377742030 5 4 5 7   103.0  101.0
 21 6882.589447 1.094E-27 2.777e-02.06910.089 2464.01860.76-.008525       1 1 1 31       1 1 1 01                    R 31e     3377642030 5 4 5 7    65.0   63.0
 21 6882.626311 7.668E-29 2.802e-02.06730.073 3111.33890.73-.008913       1 1 1 31       1 1 1 01                    R 51e     3377742030 5 4 5 7   105.0  103.0
